occurrence_date,start_timestamp,end_timestamp,occurrence_type
4/8/2020 0:00,4/8/2020 11:36,4/8/2020 11:52,tired
4/8/2020 0:00,4/8/2020 8:20,4/8/2020 8:36,energetic
4/8/2020 0:00,4/8/2020 12:40,4/8/2020 12:54,tired
4/8/2020 0:00,4/8/2020 17:50,4/8/2020 17:50,tired
4/8/2020 0:00,4/8/2020 13:48,4/8/2020 14:18,tired
4/8/2020 0:00,4/8/2020 13:37,4/8/2020 13:46,tired
4/8/2020 0:00,4/8/2020 8:49,4/8/2020 9:00,tired
4/8/2020 0:00,4/8/2020 10:48,4/8/2020 10:54,tired
4/8/2020 0:00,4/8/2020 13:02,4/8/2020 13:02,tired
4/8/2020 0:00,4/8/2020 12:23,4/8/2020 12:28,tired
4/8/2020 0:00,4/8/2020 21:31,4/8/2020 21:56,tired
4/8/2020 0:00,4/8/2020 21:09,4/8/2020 21:15,tired
4/8/2020 0:00,4/8/2020 13:26,4/8/2020 13:36,tired
4/8/2020 0:00,4/8/2020 21:56,4/8/2020 23:04,energetic
4/8/2020 0:00,4/8/2020 9:26,4/8/2020 9:56,tired
4/9/2020 0:00,4/9/2020 18:20,4/9/2020 18:20,tired
4/9/2020 0:00,4/9/2020 20:51,4/9/2020 21:55,energetic
4/9/2020 0:00,4/9/2020 11:02,4/9/2020 11:09,tired
4/9/2020 0:00,4/9/2020 12:25,4/9/2020 12:28,tired
4/9/2020 0:00,4/9/2020 16:09,4/9/2020 16:39,tired
4/9/2020 0:00,4/9/2020 12:40,4/9/2020 12:42,tired
4/9/2020 0:00,4/9/2020 20:14,4/9/2020 20:14,tired
4/9/2020 0:00,4/9/2020 19:17,4/9/2020 19:17,tired
4/9/2020 0:00,4/9/2020 18:33,4/9/2020 19:03,tired
4/9/2020 0:00,4/9/2020 16:53,4/9/2020 16:57,tired
4/9/2020 0:00,4/9/2020 19:25,4/9/2020 19:29,tired
4/9/2020 0:00,4/9/2020 9:44,4/9/2020 9:57,tired
4/9/2020 0:00,4/9/2020 10:36,4/9/2020 10:36,tired
4/9/2020 0:00,4/9/2020 9:57,4/9/2020 10:31,energetic
4/9/2020 0:00,4/9/2020 15:30,4/9/2020 16:00,tired
4/9/2020 0:00,4/9/2020 13:14,4/9/2020 13:19,tired
4/9/2020 0:00,4/9/2020 9:03,4/9/2020 9:07,tired
4/9/2020 0:00,4/9/2020 13:49,4/9/2020 13:55,tired
4/9/2020 0:00,4/9/2020 18:06,4/9/2020 18:09,tired
4/9/2020 0:00,4/9/2020 20:21,4/9/2020 20:51,tired
4/10/2020 0:00,4/10/2020 20:04,4/10/2020 20:08,tired
4/10/2020 0:00,4/10/2020 8:17,4/10/2020 8:21,tired
4/10/2020 0:00,4/10/2020 9:58,4/10/2020 10:23,energetic
4/10/2020 0:00,4/10/2020 17:46,4/10/2020 17:46,tired
4/10/2020 0:00,4/10/2020 16:50,4/10/2020 16:54,tired
4/10/2020 0:00,4/10/2020 21:03,4/10/2020 21:38,energetic
4/10/2020 0:00,4/10/2020 16:54,4/10/2020 17:38,energetic
4/10/2020 0:00,4/10/2020 21:00,4/10/2020 21:03,tired
4/10/2020 0:00,4/10/2020 20:23,4/10/2020 20:27,tired
4/10/2020 0:00,4/10/2020 7:55,4/10/2020 8:04,tired
4/10/2020 0:00,4/10/2020 14:13,4/10/2020 14:59,energetic
4/10/2020 0:00,4/10/2020 16:41,4/10/2020 16:41,tired
4/10/2020 0:00,4/10/2020 13:36,4/10/2020 13:55,tired
4/10/2020 0:00,4/10/2020 13:24,4/10/2020 13:24,tired
4/10/2020 0:00,4/10/2020 11:04,4/10/2020 11:09,tired
4/10/2020 0:00,4/10/2020 16:07,4/10/2020 16:07,tired
4/10/2020 0:00,4/10/2020 22:10,4/10/2020 22:27,tired
4/10/2020 0:00,4/10/2020 20:45,4/10/2020 20:46,tired
4/10/2020 0:00,4/10/2020 8:21,4/10/2020 9:30,energetic
4/10/2020 0:00,4/10/2020 9:40,4/10/2020 9:58,tired
4/10/2020 0:00,4/10/2020 14:04,4/10/2020 14:13,tired
4/10/2020 0:00,4/10/2020 9:35,4/10/2020 9:35,tired
4/10/2020 0:00,4/10/2020 10:29,4/10/2020 10:34,tired
4/11/2020 0:00,4/11/2020 19:13,4/11/2020 19:20,tired
4/11/2020 0:00,4/11/2020 8:30,4/11/2020 9:08,energetic
4/11/2020 0:00,4/11/2020 21:05,4/11/2020 21:05,tired
4/11/2020 0:00,4/11/2020 13:17,4/11/2020 13:28,tired
4/11/2020 0:00,4/11/2020 14:08,4/11/2020 14:12,tired
4/11/2020 0:00,4/11/2020 11:31,4/11/2020 12:14,energetic
4/11/2020 0:00,4/11/2020 20:57,4/11/2020 20:59,tired
4/11/2020 0:00,4/11/2020 22:24,4/11/2020 22:51,energetic
4/11/2020 0:00,4/11/2020 21:19,4/11/2020 22:04,energetic
4/11/2020 0:00,4/11/2020 15:04,4/11/2020 15:04,tired
4/11/2020 0:00,4/11/2020 19:27,4/11/2020 19:57,tired
4/11/2020 0:00,4/11/2020 12:22,4/11/2020 12:42,tired
4/11/2020 0:00,4/11/2020 19:57,4/11/2020 20:51,energetic
4/11/2020 0:00,4/11/2020 13:28,4/11/2020 13:48,energetic
4/11/2020 0:00,4/11/2020 14:41,4/11/2020 14:46,tired
4/11/2020 0:00,4/11/2020 22:09,4/11/2020 22:24,tired
